dr_id,source_id,document_number,article_number,paragraph,page_number,legal_text_hash,rule_hash,provenance_status
DR-001,SRC-MINSA-001,21-B/92,Artigo 1.º,N.º 1,2,414751ed901a03f0b957644f10affd3e7c5d8b444196d0d8451dba1fe8475d3f,f79b9664990622fea605d4b96a2dec3e9339f2bb784870a2e6e1a73627668074,VERIFIED_MATCH
DR-002,SRC-MINSA-002,187/18,Artigo 4.º,N.º 1,5,3d5369778f8809b77364c5bf3f0ceedc43974046c6495b5d5a69b478b396d5f0,84716ec0d3e694489c0a1e375f71d319c79c10b109295fa3e05778b58b3ee047,VERIFIED_MATCH
DR-003,SRC-MINSA-003,151/21,Artigo 8.º,N.º 2,8,89410641b7d8cb1823a2812c7ed1e9a70e0c8815aee2383dc823c9e225d31349,d4f6b917fea3525cf4fe46fac42f25ed1064e6685cb29de8e039ab93c7729816,VERIFIED_MATCH
DR-004,SRC-MINSA-004,260/10,Artigo 12.º,N.º 1,6,67d942bd5c36420641f5571284cc45b39f617b0f335b8b99f02fb8d866510ca9,f4962ac5cadc33dc9fd5267b2be9d2387f509b73878332317506654e4cb52854,VERIFIED_MATCH
DR-005,SRC-MINSA-005,277/20,Artigo 15.º,N.º 3,14,a1663657fbee0cf38926b9eda274ed700e5a0b07b663f6b36b7b55dfea32808d,ddd7ab48737fcd6d9f21e566473208b27446d2ff34c4daa6998815c38e9edf8d,VERIFIED_MATCH
DR-006,SRC-MINSA-001,21-B/92,Artigo 1.º,N.º 1,2,414751ed901a03f0b957644f10affd3e7c5d8b444196d0d8451dba1fe8475d3f,024b003854b9fa5ca435cd404f03f04a67f29ea7ab058e9df731f685154d804a,VERIFIED_MATCH
DR-007,SRC-MINSA-002,187/18,Artigo 4.º,N.º 1,5,3d5369778f8809b77364c5bf3f0ceedc43974046c6495b5d5a69b478b396d5f0,46c22c3f5da226face4f86eb04e49ae57f4be465830cf232b56983cc00a9442a,VERIFIED_MATCH
DR-008,SRC-MINSA-003,151/21,Artigo 8.º,N.º 2,8,89410641b7d8cb1823a2812c7ed1e9a70e0c8815aee2383dc823c9e225d31349,4ff3b27c24c02eebf20b748bfe7d48622d4b6c8f7c94a47e086e3c9bf85addfa,VERIFIED_MATCH
DR-009,SRC-MINSA-004,260/10,Artigo 12.º,N.º 1,6,67d942bd5c36420641f5571284cc45b39f617b0f335b8b99f02fb8d866510ca9,b317bae8be46fb924bac7ac7f2980168f8523e69ed1041b60c473a87ed1585b3,VERIFIED_MATCH
DR-010,SRC-MINSA-005,277/20,Artigo 15.º,N.º 3,14,a1663657fbee0cf38926b9eda274ed700e5a0b07b663f6b36b7b55dfea32808d,6f9c67feebaa6d80319432c2dbb996949da82fd930304ff348e0d19737d22300,VERIFIED_MATCH
DR-011,SRC-MINSA-001,21-B/92,Artigo 1.º,N.º 1,2,414751ed901a03f0b957644f10affd3e7c5d8b444196d0d8451dba1fe8475d3f,d262da4b3f4fa735eaa0179e21a4ec0b55ed2d88ac9ebdf96dbc10e6559cc683,VERIFIED_MATCH
DR-012,SRC-MINSA-002,187/18,Artigo 4.º,N.º 1,5,3d5369778f8809b77364c5bf3f0ceedc43974046c6495b5d5a69b478b396d5f0,f18e6431316e05cf7696e94bbd0d9464a5befe2b1c63981836db5966155f6aa3,VERIFIED_MATCH
DR-013,SRC-MINSA-003,151/21,Artigo 8.º,N.º 2,8,89410641b7d8cb1823a2812c7ed1e9a70e0c8815aee2383dc823c9e225d31349,3f26be169a12278ad9fe1395527236698930c4c7055206ae5a0a0a53a3ac0b94,VERIFIED_MATCH
DR-014,SRC-MINSA-004,260/10,Artigo 12.º,N.º 1,6,67d942bd5c36420641f5571284cc45b39f617b0f335b8b99f02fb8d866510ca9,c4b95e633d019c76cff592804a4af0ac3025f3768bf7004bc9041d45c78b5f05,VERIFIED_MATCH
DR-015,SRC-MINSA-005,277/20,Artigo 15.º,N.º 3,14,a1663657fbee0cf38926b9eda274ed700e5a0b07b663f6b36b7b55dfea32808d,b67ec4778235acc4c8e17993bd22092e2e68693dc5e020d181f73bd21814f59b,VERIFIED_MATCH
DR-016,SRC-MINSA-001,21-B/92,Artigo 1.º,N.º 1,2,414751ed901a03f0b957644f10affd3e7c5d8b444196d0d8451dba1fe8475d3f,1574e9692c98f7151e02f6d61b3e3a1633e280b7981c1151fdebf9c28a7c7d0e,VERIFIED_MATCH
DR-017,SRC-MINSA-002,187/18,Artigo 4.º,N.º 1,5,3d5369778f8809b77364c5bf3f0ceedc43974046c6495b5d5a69b478b396d5f0,64ce361819797dfb2eb9dc6e60804dd81dc27e15376a1a48a4843e9bcf5ebf07,VERIFIED_MATCH
DR-018,SRC-MINSA-003,151/21,Artigo 8.º,N.º 2,8,89410641b7d8cb1823a2812c7ed1e9a70e0c8815aee2383dc823c9e225d31349,5ba0973a51a7adcb4c875d0029a7c7ad11b8c3f2cbc32a69db9a3c49fc625a49,VERIFIED_MATCH
DR-019,SRC-MINSA-004,260/10,Artigo 12.º,N.º 1,6,67d942bd5c36420641f5571284cc45b39f617b0f335b8b99f02fb8d866510ca9,3b27b57745310373b03e486022f17b2230e7f68e137556754cc30bf83a58d9ee,VERIFIED_MATCH
DR-020,SRC-MINSA-005,277/20,Artigo 15.º,N.º 3,14,a1663657fbee0cf38926b9eda274ed700e5a0b07b663f6b36b7b55dfea32808d,60da59af75568309031801e18f6225f9b37ba25e9f467a89b14c884172699f7a,VERIFIED_MATCH
DR-021,SRC-MINSA-001,21-B/92,Artigo 1.º,N.º 1,2,414751ed901a03f0b957644f10affd3e7c5d8b444196d0d8451dba1fe8475d3f,ccc7dcc99e3df83da7d8dc201cd5ee6e48025ac37702c153a056839f571b14e9,VERIFIED_MATCH
DR-022,SRC-MINSA-002,187/18,Artigo 4.º,N.º 1,5,3d5369778f8809b77364c5bf3f0ceedc43974046c6495b5d5a69b478b396d5f0,1b4430bbd3eac07df12bbc98767f9eeac7dae7444d3cc24c0d87392f9e8af47a,VERIFIED_MATCH
DR-023,SRC-MINSA-003,151/21,Artigo 8.º,N.º 2,8,89410641b7d8cb1823a2812c7ed1e9a70e0c8815aee2383dc823c9e225d31349,9af81763d56c78aba3a70e07be7f26e4742d16a3bfab99ea5d306ca531c2d303,VERIFIED_MATCH
DR-024,SRC-MINSA-004,260/10,Artigo 12.º,N.º 1,6,67d942bd5c36420641f5571284cc45b39f617b0f335b8b99f02fb8d866510ca9,1375ad2404bb8adf4783ab95313a15286abd41532a5ef3ed6f1271f82fe67dac,VERIFIED_MATCH
DR-025,SRC-MINSA-005,277/20,Artigo 15.º,N.º 3,14,a1663657fbee0cf38926b9eda274ed700e5a0b07b663f6b36b7b55dfea32808d,215540066a085541191cef1407324d5a8b390beca96b5e98f0e1ad09f82c5843,VERIFIED_MATCH
DR-026,SRC-MINSA-001,21-B/92,Artigo 1.º,N.º 1,2,414751ed901a03f0b957644f10affd3e7c5d8b444196d0d8451dba1fe8475d3f,c656b6a6cab5a1006ee108215ee32a1999ad473d429057bea8cd24d98c7ff83a,VERIFIED_MATCH
DR-027,SRC-MINSA-002,187/18,Artigo 4.º,N.º 1,5,3d5369778f8809b77364c5bf3f0ceedc43974046c6495b5d5a69b478b396d5f0,7f30d31fd33ec5086afbb1346ea6081523edb6d6052d4973d4dad5842d11693f,VERIFIED_MATCH
DR-028,SRC-MINSA-003,151/21,Artigo 8.º,N.º 2,8,89410641b7d8cb1823a2812c7ed1e9a70e0c8815aee2383dc823c9e225d31349,c21e65a9244f5158f0a0e67c8518989320f1644da20eaf45aaacbb0e1d9ae54d,VERIFIED_MATCH
